age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
3.46, -0.01%,4%,-1.3%,https://www.signalstart.com/analysis/sab-investments-2020/103878, -0.37%,SAB Investments 2020,183.2,$99, 0.91,-,33,Real, 36%
1.43, -0.04%,12.2%,-1.55%,https://www.signalstart.com/analysis/safe1000k/133908, -1.07%,safe1000k,268.8,$45, 2.05,-,57,Real, 67%
4.39, -0.01%,36.2%,-1.77%,https://www.signalstart.com/analysis/fxpro14-system/91992, -0.40%,FXPRO14 System,-52.6,$149, 0.97,-,121,Real, 55%
2.03, -0.09%,7.8%,-5.42%,https://www.signalstart.com/analysis/ufsportfolio/135210, -2.68%,UFSPortfolio,14.4,$30, 0.82,-,345,Real, 84%
3.26, -0.06%,29.1%,-5.42%,https://www.signalstart.com/analysis/active-day-traders/106979, -1.68%,Active Day Traders,-161.6,$149, 0.96,-,257,Real, 68%
7.39, -0.01%,7.7%,-2.53%,https://www.signalstart.com/analysis/profx1/66678, -0.34%,ProFx1,"3,433",$100, 0.91,-,159,Real, 61%
22.0, -0.01%,79.1%,-5.56%,https://www.signalstart.com/analysis/rich-dad-investor/36286, -0.26%,Rich Dad Investor,"3,220.3",$56, 0.76,-,63,Real, 81%
1.07, -0.18%,15.9%,-5.56%,https://www.signalstart.com/analysis/bebop-oc/140600, -5.15%,BEBOP OC,"-1,279.1",$50, 0.98,-,696,Real, 63%
6.72, -0.01%,34.9%,-2.85%,https://www.signalstart.com/analysis/mechanicalsequencer-2ndgen/70684, -0.43%,MechanicalSequencer 2ndGen,"-397,713.4",$30, 0.8,-,270,Real, 57%
0.51, -0.39%,19.3%,-5.72%,https://www.signalstart.com/analysis/nighttraderuk/139487, -5.72%,NightTraderUK,-132.2,$75, 0.64,-,59,Real, 58%
3.23, -0.06%,58.7%,-5.96%,https://www.signalstart.com/analysis/focustradefx-low-risk-18k/116765, -1.87%,FocusTradeFX Low Risk 18K,"-7,576.6",$40, 1,-,2519,Real, 86%
8.43, -0.02%,14.3%,-6.01%,https://www.signalstart.com/analysis/rock-nd-roll/140572, -0.73%,Rock nd Roll,337.3,$99, 0.71,-,72,Real, 46%
8.36, -0.03%,30.6%,-6.09%,https://www.signalstart.com/analysis/tii/83662, -0.75%,tii,-41.2,$30, 0.9,-,89,Real, 39%
10.16, -0.02%,23%,-6.87%,https://www.signalstart.com/analysis/factorpro-ai2-master-fxtm/62748, -0.70%,FACTORPRO Ai2 Master FXTM,"-2,407.2",$30, 0.94,-,248,Real, 58%
